"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","gene_name","gene_type","direction","ensembl_clean","ENTREZID"
9583.19134936086,1.06705136984429,0.11596648964616,9.20137682101192,3.53392255987855e-20,6.29215898915582e-18,"ENSG00000072210.19","ALDH3A2","protein_coding","Up_in_MUT","ENSG00000072210","224"
843.993974736886,1.61431048635805,0.147005393879325,10.9813010513289,4.701039155744e-28,2.23622117810025e-25,"ENSG00000073150.14","PANX2","protein_coding","Up_in_MUT","ENSG00000073150","56666"
743.749667909782,-1.21888996368334,0.236649894104212,-5.15060430640458,2.59648478574603e-07,2.95228564418522e-06,"ENSG00000073282.14","TP63","protein_coding","Down_in_MUT","ENSG00000073282","8626"
8.53347695730995,-1.06952306825373,0.237471700775744,-4.50379167184951,6.67516455343346e-06,5.02822428462486e-05,"ENSG00000073754.6","CD5L","protein_coding","Down_in_MUT","ENSG00000073754","922"
607.383717331598,1.97345675316052,0.27793498445036,7.10042586780932,1.24373035301298e-12,5.6465712365921e-11,"ENSG00000074211.14","PPP2R2C","protein_coding","Up_in_MUT","ENSG00000074211","5522"
2874.13951113605,1.07525896692743,0.230301331967072,4.668922049835,3.02784226535289e-06,2.52618745651994e-05,"ENSG00000074410.14","CA12","protein_coding","Up_in_MUT","ENSG00000074410","771"
580.788303343299,-1.18671818333621,0.169281667505609,-7.01031718804925,2.37778443932402e-12,9.83965916879501e-11,"ENSG00000074706.13","IPCEF1","protein_coding","Down_in_MUT","ENSG00000074706","26034"
30.3469041083846,-1.25945127152097,0.175132570801314,-7.19141656950727,6.41225125785919e-13,3.13924515882074e-11,"ENSG00000075035.10","WSCD2","protein_coding","Down_in_MUT","ENSG00000075035","9671"
231.356348616114,1.19002442564202,0.195194649551775,6.09660371518723,1.0834566417762e-09,2.3035921701167e-08,"ENSG00000075340.23","ADD2","protein_coding","Up_in_MUT","ENSG00000075340","119"
111.656275811169,-1.09877206823867,0.160870552094646,-6.83016284790407,8.48182939819887e-12,3.09911198886869e-10,"ENSG00000076344.16","RGS11","protein_coding","Down_in_MUT","ENSG00000076344","8786"
342.052175204359,-1.50910778520415,0.261019514773544,-5.78158988040963,7.39979277503535e-09,1.25982262571128e-07,"ENSG00000077327.16","SPAG6","protein_coding","Down_in_MUT","ENSG00000077327","9576"
1887.4845047287,1.50139968783356,0.156556707534679,9.59013325890865,8.79713182893445e-22,1.98846374836858e-19,"ENSG00000078018.20","MAP2","protein_coding","Up_in_MUT","ENSG00000078018","4133"
11.9520669404089,-1.30934435489102,0.248376323738988,-5.27161500412161,1.35228510743093e-07,1.65129037007399e-06,"ENSG00000078579.9","FGF20","protein_coding","Down_in_MUT","ENSG00000078579","26281"
422.521684936288,-2.75220381886934,0.305038872374155,-9.02246916089286,1.83896779560163e-19,2.9751138382548e-17,"ENSG00000078725.13","BRINP1","protein_coding","Down_in_MUT","ENSG00000078725","1620"
529.865429417442,-1.61613552739735,0.365652558523719,-4.41986659117693,9.87618517553142e-06,7.04958337579758e-05,"ENSG00000078898.7","BPIFB2","protein_coding","Down_in_MUT","ENSG00000078898","80341"
131.976378952404,1.42347822039424,0.297903606729607,4.77831818157966,1.76767502942629e-06,1.57808321744665e-05,"ENSG00000079393.20","DUSP13","protein_coding","Up_in_MUT","ENSG00000079393","51207"
10.2648029298988,1.70358440761798,0.363547374548681,4.68600387977734,2.78590983899476e-06,2.34521216266777e-05,"ENSG00000079689.14","SCGN","protein_coding","Up_in_MUT","ENSG00000079689","10590"
102.703888585221,-1.28966286140314,0.244457124767678,-5.27561985615588,1.32308102670184e-07,1.62184290007748e-06,"ENSG00000079841.18","RIMS1","protein_coding","Down_in_MUT","ENSG00000079841","22999"
