"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",200,-0.277870117064663,-1.44009265725846,0.00386028383654784,0.006031693494606,0.00114284718845166,5230,"tags=34%, list=23%, signal=26%","2919/30818/5641/10404/9732/3818/6284/1284/629/308/4317/959/715/5341/25801/2625/3003/4057/3569/966/7128/714/30819/2207/60489/51440/4323/10938/1519/3796/4035/4973/7454/834/160851/6935/868/8445/5294/1012/3937/23533/3717/2771/2219/10019/1512/5265/55619/5340/710/10125/64145/843/54331/2335/725/23414/7077/1803/3684/7980/23348/2534/54704/5055/1848/5327",0.431707695803346
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",36,-0.383528263110877,-1.43163631715522,0.0599078341013825,0.0713188501206934,0.0135130452860261,6136,"tags=47%, list=27%, signal=35%","4825/7422/6252/4763/154796/8828/4627/23493/7070/1808/1271/5921/5371/5340/8829/8633/43",0.282013350011725
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",160,-0.283583932356359,-1.42173366116518,0.0121831142986216,0.0172516310178008,0.00326873008758331,3630,"tags=25%, list=16%, signal=21%","960/3569/3489/633/8682/5914/6093/5159/3553/8915/3725/351/894/51176/834/2149/355/7124/1499/8567/9890/969/1540/4060/7049/1960/56172/4313/10628/8837/2012/1647/5526/7077/1634/7078/1806/8743/2069/5327",0.380730400722792
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",74,0.336343929381105,1.39652788400075,0.0272139519355869,0.0340174399194836,0.00644540966895479,3891,"tags=27%, list=17%, signal=23%","2194/1191/312/5833/6319/4597/3422/10654/57761/51478/1891/2224/2770/214/4598/39/6311/6721/127/4023",0.352487857583619
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",200,0.279907620493151,1.37914836651452,0.0124211743328166,0.0172516310178008,0.00326873008758331,5505,"tags=31%, list=24%, signal=24%","7358/2109/224/57834/645/51181/8416/2717/949/6337/23596/51083/10105/221/3613/10140/56994/58495/7164/8140/2810/6478/6652/7264/9536/51659/573/6280/9022/29107/2288/4192/771/3418/8900/56521/10551/11187/9254/7031/3158/11057/857/990/5979/2582/429/991/9455/7263/1345/10535/2171/27134/4338/10761/6820/7494/403/445/2222/64215",0.380730400722792
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",104,0.30571317336879,1.36008708293694,0.0437828371278459,0.0533937038144462,0.0101167017753688,5833,"tags=35%, list=25%, signal=26%","6016/8878/375/7186/5571/84335/5216/2810/4087/57761/983/1460/4793/466/7132/117145/7334/79109/10094/81579/31/7184/5608/3265/5563/51295/5606/5781/1977/81617/5599/108/5163/23236/6513/1649",0.287857117255149
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",200,0.266516333139364,1.31316741163032,0.0258179886580909,0.0330999854590909,0.0062715761922488,2277,"tags=18%, list=10%, signal=17%","25987/645/2194/8416/6542/9687/2717/55793/1366/949/55638/6337/23596/10105/221/10140/23329/56994/58495/7164/367/8140/2810/6478/23223/9536/3983/573/81875/54898/9022/29107/2288/8614/8800/771/3480",0.352487857583619
"HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING",32,-0.348598975973385,-1.29179254649621,0.125274725274725,0.139194139194139,0.0263736263736264,6643,"tags=47%, list=29%, signal=33%","8819/7474/23291/3955/6934/595/3280/7472/5467/23220/8321/5578/4853/10402/84441",0.186432558434075
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",111,0.281194386586865,1.26189546579085,0.100164203612479,0.113822958650545,0.0215664553232611,2603,"tags=19%, list=11%, signal=17%","2730/3417/216/6647/8443/10998/7276/223/367/23417/3422/9409/27232/5827/8800/5824/5213/9971/9962/3418/26061",0.179782316298324
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",190,0.250805979909028,1.21670234243225,0.0948012232415902,0.110233980513477,0.0208864384130799,4934,"tags=24%, list=21%, signal=19%","10553/2730/2235/2729/10058/23657/51094/645/119/56180/3068/8364/4329/4259/3145/7390/5909/54498/55532/25796/8991/896/1497/54165/4601/1870/3029/9562/54977/210/23039/23762/51312/1193/2039/682/1182/1371/5498/114625/5886/360/5606/81689/7037/6917",0.178219874951973
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",200,0.219579930619401,1.08190445869096,0.284578696343402,0.309324669938481,0.058608884830449,3571,"tags=18%, list=16%, signal=15%","29948/2052/63874/23657/6520/2877/55270/51181/3006/30836/10140/5372/7164/3094/2810/57761/64782/694/5111/6141/26355/7157/51499/51065/896/51002/4814/1029/581/11202/3654/23479/9538/51768/3265/4071",0.0978773277424561
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",42,0.254559227098481,0.946212193739887,0.537234042553192,0.571525577184246,0.108289056729647,2604,"tags=17%, list=11%, signal=15%","23385/1454/1856/10023/7157/22943/2770",0.0692836467392548
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",100,0.215357016891611,0.940807570057889,0.598939929328622,0.623895759717315,0.118211828156965,1587,"tags=13%, list=7%, signal=12%","2936/2181/5036/2547/6319/9218/6675/23223/3422/7520/6652/9590/55839",0.0637845390312975
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",196,0.183666363678046,0.897173940443868,0.733438485804416,0.748406618167772,0.141803359231788,4339,"tags=22%, list=19%, signal=18%","63827/2651/2027/949/8660/57007/3623/6533/3309/2645/2821/3073/6478/9590/10570/26136/2597/694/5317/26355/23327/8614/771/8991/10891/1944/2817/839/7167/4601/3098/2745/7163/124872/5033/857/5837/5214/55139/6576/5313/6781/226",0.0489954089862481
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",198,-0.155027713263892,-0.805238139349173,0.946236559139785,0.946236559139785,0.179286926994907,6734,"tags=32%, list=29%, signal=23%","55125/55704/1453/85378/201176/324/85464/6654/58526/10801/55722/4082/8874/4926/5108/8936/613/7414/23365/55201/10013/121512/79658/55785/6709/64411/6453/51735/4763/9732/10276/832/11064/382/8440/29/9113/4627/10611/4628/2317/7204/6093/51199/57580/667/9462/9411/50650/5921/4650/1794/7461/357/2037/7074/5922/2316/4853/5311/9771/11135/11346",0.0619762736001998
