"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022412","cellular process involved in reproduction in multicellular organism","28/674","280/16231",0.1,2.40816023738872,4.94724498963837,1.62474020184629e-05,0.00268468976209839,0.00268468976209839,"ZFP57/IGF2/CATSPERD/TCP11/ADGB/SPACA3/RXFP2/CFAP47/CFAP65/ZPBP2/DRC7/BNC1/DNAH12/ARMC3/ROPN1/EREG/CTCFL/SPINK2/ROPN1L/CFAP43/LRRC46/CCDC42/FAM9C/DIRAS3/FER1L5/RETN/PDCL2/RSPH1",28
"GO:0036159","inner dynein arm assembly","6/674","15/16231",0.4,9.6326409495549,6.96215554807051,1.81964672212241e-05,0.00287007914807489,0.00287007914807489,"CFAP73/CFAP100/DNAI3/ZMYND10/DNAAF6/DNAAF1",6
"GO:0009913","epidermal cell differentiation","19/674","153/16231",0.124183006535948,2.99052578499253,5.14901068808596,1.95386211583232e-05,0.00294778327910354,0.00294778327910354,"IVL/SPRR2F/KRT75/FOXI3/KRT5/SPINK5/SPRR2G/EREG/KRT14/S100A7/SPRR1B/IL20/SPRR2D/SPRR1A/SPRR3/CASP14/DLX3/KRT1/SPRR2E",19
"GO:0060271","cilium assembly","34/674","383/16231",0.0887728459530026,2.13779237783855,4.69030903140742,2.65679708002616e-05,0.00370119304296368,0.00370119304296368,"CFAP73/SPEF1/DNAI1/HOATZ/CFAP70/CFAP100/CFAP161/DNAI3/CFAP47/CFAP65/CLXN/DRC7/ERICH3/TEKT2/RSPH4A/ZMYND10/DNAH12/TEKT3/DNAAF6/HYDIN/TEKT4/ODAD2/CIBAR2/DRC1/CFAP43/CFAP91/LRRC46/TEKT1/DNAI2/DNAAF1/ODAD1/RSPH1/CFAP46/CFAP74",34
"GO:0030855","epithelial cell differentiation","41/674","500/16231",0.082,1.97469139465875,4.6078703473928,2.66656559291331e-05,0.00370119304296368,0.00370119304296368,"ARX/DCHS2/IVL/FGF8/GDNF/SPRR2F/KRT75/FAT4/FOXB1/FOXI3/KRT39/KRT5/SPINK5/SPRR2G/VSIG1/DMBT1/KRT20/ROS1/KRT32/EREG/NPY/KRT14/SOX11/S100A7/SPRR1B/IL20/SIX3/SPRR2D/SULT1B1/SPRR1A/SPRR3/CASP14/LHX1/GATA4/KRT23/DLX3/KRT31/KRT33B/KRT1/CYP1A1/SPRR2E",41
"GO:0042044","fluid transport","8/674","32/16231",0.25,6.02040059347181,5.91691786922757,3.678221500916e-05,0.00472177279332624,0.00472177279332624,"AQP1/CLDN18/AQP5/AQP6/CSF2/AQP2/AQP10/SLC5A1",8
"GO:0050804","modulation of chemical synaptic transmission","38/674","456/16231",0.0833333333333333,2.00680019782394,4.53907451062004,3.69709071827819e-05,0.00472177279332624,0.00472177279332624,"CHRNB3/ADORA1/GABRB2/RASGRF1/PLAT/KCNK2/SHISA6/SLC18A3/TSPOAP1/SV2C/CX3CL1/NRGN/SYT12/GRM6/CX3CR1/S100B/PCDH8/CDH11/SCTR/ADRB2/GRIK3/PLG/GRM7/GRIN2A/CALB1/NPY/ACHE/C1QTNF3/RIMS1/SYT8/GABRB1/CRH/C1QL2/FER1L5/LGI1/RETN/GRIN3B/NETO1",38
"GO:0001501","skeletal system development","30/674","325/16231",0.0923076923076923,2.22291714220498,4.63537107597697,3.81007602919697e-05,0.00472177279332624,0.00472177279332624,"COL11A1/MMP13/DLX1/FGF8/FREM1/SRD5A2/ITGB8/FBN2/COL13A1/CNMD/HHIP/CDH11/DSCAML1/COL19A1/GDF5/MYOC/BMP3/SOX11/HAND2/COL11A2/OGN/IFITM5/EPYC/CHI3L1/NKX3-2/LHX1/PAX1/DLX3/MEPE/COMP",30
"GO:0099177","regulation of trans-synaptic signaling","38/674","458/16231",0.0829694323144105,1.99803687818278,4.5097083756875,4.06501688678074e-05,0.0048640029645273,0.0048640029645273,"CHRNB3/ADORA1/GABRB2/RASGRF1/PLAT/KCNK2/SHISA6/SLC18A3/TSPOAP1/SV2C/CX3CL1/NRGN/SYT12/GRM6/CX3CR1/S100B/PCDH8/CDH11/SCTR/ADRB2/GRIK3/PLG/GRM7/GRIN2A/CALB1/NPY/ACHE/C1QTNF3/RIMS1/SYT8/GABRB1/CRH/C1QL2/FER1L5/LGI1/RETN/GRIN3B/NETO1",38
"GO:0007281","germ cell development","25/674","253/16231",0.0988142292490119,2.37960497765684,4.60341456158898,5.55442036371095e-05,0.006424612887359,0.006424612887359,"ZFP57/IGF2/CATSPERD/TCP11/ADGB/RXFP2/CFAP47/CFAP65/ZPBP2/DRC7/BNC1/DNAH12/ARMC3/ROPN1/EREG/CTCFL/SPINK2/ROPN1L/CFAP43/LRRC46/CCDC42/FAM9C/DIRAS3/PDCL2/RSPH1",25
"GO:0007286","spermatid development","18/674","161/16231",0.111801242236025,2.6923530604346,4.49181905417491,0.000128338485677829,0.0143656304936151,0.0143656304936151,"CATSPERD/TCP11/ADGB/CFAP47/CFAP65/ZPBP2/DRC7/DNAH12/ARMC3/ROPN1/SPINK2/ROPN1L/CFAP43/LRRC46/CCDC42/FAM9C/PDCL2/RSPH1",18
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","15/674","121/16231",0.12396694214876,2.98532260833313,4.56249378129213,0.000146403483074132,0.0158756276958512,0.0158756276958512,"CAMP/REG1A/KLK7/DEFB4A/CX3CL1/CXCL14/CXCL6/SPINK5/CCL17/ELANE/DMBT1/NPY/S100A7/RNASE7/PPBP",15
"GO:0050906","detection of stimulus involved in sensory perception","16/674","137/16231",0.116788321167883,2.8124499122788,4.43425414773033,0.000180577007408018,0.0189879459304795,0.0189879459304795,"ADORA1/COL11A1/ANO1/KCNK2/GRM6/TAC4/RPE65/PIP/PIGR/OR7D2/GUCY2F/OR10H1/OR14L1/OR4C6/OR3A1/OR8G3",16
"GO:0045109","intermediate filament organization","10/674","61/16231",0.163934426229508,3.94780366785037,4.80103359322329,0.000189113879928453,0.0193007400985803,0.0193007400985803,"KRT75/KRT39/KRT5/KRT20/KRT32/KRT14/KRT23/KRT31/KRT33B/KRT1",10
"GO:0048515","spermatid differentiation","18/674","169/16231",0.106508875739645,2.5649043948519,4.25654896912991,0.000236905451336093,0.0234874833181784,0.0234874833181784,"CATSPERD/TCP11/ADGB/CFAP47/CFAP65/ZPBP2/DRC7/DNAH12/ARMC3/ROPN1/SPINK2/ROPN1L/CFAP43/LRRC46/CCDC42/FAM9C/PDCL2/RSPH1",18
"GO:0030198","extracellular matrix organization","24/674","263/16231",0.091254752851711,2.19756067290226,4.07545798488418,0.000263392288125701,0.0253880899943384,0.0253880899943384,"COL11A1/MMP13/LOXL4/MMP28/KLK7/GDPD2/COL13A1/COL19A1/SPINK5/ELANE/PLG/COL23A1/IBSP/COL8A2/COL17A1/COL11A2/MMP11/DPP4/PRSS2/MMP20/MMP10/PRSS1/COLGALT2/HAS3",24
"GO:0043062","extracellular structure organization","24/674","264/16231",0.0909090909090909,2.18923657944429,4.05494382598422,0.000278681492309185,0.0260921173288025,0.0260921173288025,"COL11A1/MMP13/LOXL4/MMP28/KLK7/GDPD2/COL13A1/COL19A1/SPINK5/ELANE/PLG/COL23A1/IBSP/COL8A2/COL17A1/COL11A2/MMP11/DPP4/PRSS2/MMP20/MMP10/PRSS1/COLGALT2/HAS3",24
"GO:0042476","odontogenesis","11/674","76/16231",0.144736842105263,3.48549508043105,4.52056278217317,0.000285735002447981,0.0260921173288025,0.0260921173288025,"CAMP/AQP1/FGF8/ODAM/AMTN/AQP5/WNT10A/FOXI3/AQP6/MMP20/SCN5A",11
"GO:0045229","external encapsulating structure organization","24/674","265/16231",0.0905660377358491,2.18097530933318,4.03452094786801,0.000294748024627085,0.0262250165501535,0.0262250165501535,"COL11A1/MMP13/LOXL4/MMP28/KLK7/GDPD2/COL13A1/COL19A1/SPINK5/ELANE/PLG/COL23A1/IBSP/COL8A2/COL17A1/COL11A2/MMP11/DPP4/PRSS2/MMP20/MMP10/PRSS1/COLGALT2/HAS3",24
"GO:0019731","antibacterial humoral response","11/674","77/16231",0.142857142857143,3.44022891055532,4.46747544109075,0.000321085183849216,0.0278541396989195,0.0278541396989195,"CAMP/KLK7/WFDC13/SPINK5/ELANE/DMBT1/NPY/WFDC11/SPRR2A/RNASE7/WFDC10B",11
"GO:0003356","regulation of cilium beat frequency","5/674","16/16231",0.3125,7.52550074183976,5.43552678926922,0.000362643059256511,0.03034010667728,0.03034010667728,"DNAH11/ODAD2/CFAP43/DNAAF1/GAS2L2",5
"GO:0022617","extracellular matrix disassembly","10/674","66/16231",0.151515151515152,3.64872763240716,4.48794677649667,0.000367228956900796,0.03034010667728,0.03034010667728,"MMP13/KLK7/GDPD2/ELANE/PLG/MMP11/DPP4/PRSS2/MMP10/PRSS1",10
"GO:0060632","regulation of microtubule-based movement","9/674","55/16231",0.163636363636364,3.94062584299973,4.54686256798059,0.000399185811761178,0.0322133666700299,0.0322133666700299,"CLXN/TAC4/DNAH11/ODAD2/EPPIN/DRC1/CFAP43/DNAAF1/GAS2L2",9
"GO:0006833","water transport","6/674","25/16231",0.24,5.77958456973294,4.977926957217,0.000451199061843822,0.0344095450355269,0.0344095450355269,"AQP1/AQP5/AQP6/AQP2/AQP10/SLC5A1",6
"GO:0007610","behavior","30/674","374/16231",0.0802139037433155,1.93167933480379,3.79418089615443,0.000455921149835318,0.0344095450355269,0.0344095450355269,"LRRN4/ADORA1/RASGRF1/KCNK2/AGRP/KLK14/NRGN/EDDM3A/GRM6/CX3CR1/GDNF/S100B/EGFR/HTR2B/FOXB1/GLP1R/GRIN2A/HTR1B/CALB1/NPY/GPR88/CSF2/TLR2/CASR/CRH/NPSR1/RETN/HPGDS/NETO1/THBS4",30
"GO:0007193","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway","12/674","93/16231",0.129032258064516,3.10730353211448,4.24199347474499,0.000456149588367216,0.0344095450355269,0.0344095450355269,"ADORA1/GABBR2/ITGB3/GRM6/RXFP2/ADRB2/GRIK3/GRM7/HTR1B/NPY/CASR/HTR4",12
"GO:0007567","parturition","4/674","10/16231",0.4,9.6326409495549,5.68370001965155,0.000506463738615809,0.0358659014897318,0.0358659014897318,"PTGFR/HPGD/CRH/CYP1A1",4
"GO:0071514","genomic imprinting","4/674","10/16231",0.4,9.6326409495549,5.68370001965155,0.000506463738615809,0.0358659014897318,0.0358659014897318,"ZFP57/IGF2/CTCFL/DIRAS3",4
"GO:0098976","excitatory chemical synaptic transmission","4/674","10/16231",0.4,9.6326409495549,5.68370001965155,0.000506463738615809,0.0358659014897318,0.0358659014897318,"SHISA6/PDLIM4/GRIN2A/PVALB",4
"GO:0007368","determination of left/right symmetry","11/674","83/16231",0.132530120481928,3.19153766400915,4.16634181088889,0.000619535942400958,0.0429957944026265,0.0429957944026265,"HAND1/DNAI1/CFAP45/CFAP52/DNAH11/ODAD2/ENKUR/DNAI2/DNAAF1/GATA4/CIROP",11
"GO:0060972","left/right pattern formation","11/674","84/16231",0.130952380952381,3.15354316800904,4.1188273166721,0.00068670943398004,0.0467231712923674,0.0467231712923674,"HAND1/DNAI1/CFAP45/CFAP52/DNAH11/ODAD2/ENKUR/DNAI2/DNAAF1/GATA4/CIROP",11
