"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","gene_name","gene_type","ensembl_clean","ENTREZID"
34.2494491416079,1.1211028304213,0.233938829377106,4.79229050348924,1.64887913178843e-06,1.48786599120128e-05,"ENSG00000002745.13","WNT16","protein_coding","ENSG00000002745","51384"
87.8727154885871,0.377159157966576,0.156836696099599,2.40478897698189,0.0161818068198028,0.0389849795526373,"ENSG00000002746.15","HECW1","protein_coding","ENSG00000002746","23072"
30.335801825499,-0.486335870738728,0.11111338590318,-4.37693322713164,1.20360827023453e-05,8.35916303783935e-05,"ENSG00000002822.15","MAD1L1","protein_coding","ENSG00000002822","8379"
13600.3181743417,0.178149441750418,0.0672779913239014,2.64796017605133,0.00809790639666182,0.0219015932423633,"ENSG00000002834.18","LASP1","protein_coding","ENSG00000002834","3927"
1381.26971877607,-0.0727219181580002,0.0562766285311775,-1.29222236754485,0.19628014773338,0.296996847002352,"ENSG00000002919.15","SNX11","protein_coding","ENSG00000002919","29916"
3968.84078355135,0.567866056886754,0.138190937095637,4.10928581006548,3.96884631693481e-05,0.000234503338833944,"ENSG00000002933.9","TMEM176A","protein_coding","ENSG00000002933","55365"
3478.23119290471,0.010066230266368,0.072216507068887,0.139389603221406,0.889142287585398,0.922125991592666,"ENSG00000003056.8","M6PR","protein_coding","ENSG00000003056","4074"
166.629242422225,-0.387929576582287,0.180551900957385,-2.14857652855092,0.0316679839290666,0.0682679569957644,"ENSG00000003096.14","KLHL13","protein_coding","ENSG00000003096","90293"
285.996571040979,-0.0284287349529867,0.145406578129801,-0.195512027850686,0.844992122509994,0.890243097303098,"ENSG00000003137.8","CYP26B1","protein_coding","ENSG00000003137","56603"
2202.11280042549,0.411018993749671,0.083925157162504,4.89744681626055,9.70899000200994e-07,9.38535700194294e-06,"ENSG00000003147.19","ICA1","protein_coding","ENSG00000003147","3382"
1658.70825581541,0.440771315293371,0.100720347672059,4.37618937464855,1.20772096132767e-05,8.38589864019047e-05,"ENSG00000003249.15","DBNDD1","protein_coding","ENSG00000003249","79007"
1396.65329146385,0.118400953093215,0.0510558253336128,2.31904885132208,0.020392387670046,0.0472158218257928,"ENSG00000003393.15","ALS2","protein_coding","ENSG00000003393","57679"
1843.21186611402,-0.446243275507947,0.0757004558738885,-5.89485585465108,3.75008598555519e-09,6.92863712728287e-08,"ENSG00000003400.15","CASP10","protein_coding","ENSG00000003400","843"
7383.26835575574,-0.394682536349458,0.0713976276315297,-5.52795028969791,3.23993819197746e-08,4.68855848471833e-07,"ENSG00000003402.20","CFLAR","protein_coding","ENSG00000003402","8837"
9083.68280262833,-0.0704302795515954,0.159383660689836,-0.441891466457495,0.658567746072756,0.745726306938279,"ENSG00000003436.16","TFPI","protein_coding","ENSG00000003436","7035"
637.317608203975,0.123775150100379,0.0515098798776789,2.40293998732494,0.0162638562391988,0.0391410830023035,"ENSG00000003509.16","NDUFAF7","protein_coding","ENSG00000003509","55471"
2780.3872767476,-0.159232626321589,0.0660984664744348,-2.40902149194605,0.0159953560061012,0.0386144516944745,"ENSG00000003756.17","RBM5","protein_coding","ENSG00000003756","10181"
264.230277130689,1.26380546415184,0.214503127665012,5.8917810565705,3.82055166653695e-09,7.02219158963085e-08,"ENSG00000003987.14","MTMR7","protein_coding","ENSG00000003987","9108"
6188.73700972576,1.77691602970424,0.219409160984201,8.09864101267944,5.55765178141644e-16,5.07529856520124e-14,"ENSG00000003989.18","SLC7A2","protein_coding","ENSG00000003989","6542"
